system:index,ID,Latitude,Longitude,Ref_Code,Strata_Code,Type1,Type2,Type3,Year1,Year2,Year3,tree_canopy_cover_2000,tree_canopy_cover_2015,.geo
00000000000000000000,1,5.55441814899995,-58.7289337507635,1,1,,,,,,,49.0,55.0,"{""type"":""Point"",""coordinates"":[-58.72893377519006,5.55441679981011]}"
00000000000000000001,2,8.08820623939046,-60.4092324897332,1,1,,,,,,,60.0,62.0,"{""type"":""Point"",""coordinates"":[-60.4092345296548,8.088207332308608]}"
00000000000000000002,3,0.876531138470445,-57.2612662395479,1,1,,,,,,,75.0,79.0,"{""type"":""Point"",""coordinates"":[-57.26126525445888,0.8765299531769097]}"
00000000000000000005,6,-10.2956363870803,-70.587234490482,1,1,,,,,,,40.0,77.0,"{""type"":""Point"",""coordinates"":[-70.58723524346925,-10.295636258705402]}"
00000000000000000006,7,1.81922319762658,-60.2405288793731,1,1,,,,,,,48.0,74.0,"{""type"":""Point"",""coordinates"":[-60.24052890039873,1.8192240477848494]}"
00000000000000000008,9,-6.75878945044083,-77.3197482189408,1,1,,,,,,,76.0,72.0,"{""type"":""Point"",""coordinates"":[-77.31974654159976,-6.7587887806384686]}"
00000000000000000009,10,-3.44373655745066,-77.0774725868103,1,1,,,,,,,78.0,80.0,"{""type"":""Point"",""coordinates"":[-77.07747466316394,-3.443736988969931]}"
0000000000000000000a,11,-9.34917140373094,-71.3825130115244,1,1,,,,,,,79.0,78.0,"{""type"":""Point"",""coordinates"":[-71.38251145725026,-9.349169764606247]}"
0000000000000000000b,12,-3.01254522107278,-52.5796063047634,1,1,,,,,,,24.0,38.0,"{""type"":""Point"",""coordinates"":[-52.57960600833447,-3.012546376202768]}"
0000000000000000000c,13,-14.3431755627424,-68.0855162557016,1,1,,,,,,,78.0,78.0,"{""type"":""Point"",""coordinates"":[-68.08551456574713,-14.343175662221391]}"
0000000000000000000d,14,-11.2173078685881,-73.1646807037147,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-73.16468037528098,-11.217305691846347]}"
0000000000000000000e,15,1.63300243922838,-57.8393321248872,1,1,,,,,,,70.0,77.0,"{""type"":""Point"",""coordinates"":[-57.8393341968255,1.6330030695908426]}"
00000000000000000011,18,1.60605298070476,-65.9389918842672,1,1,,,,,,,75.0,77.0,"{""type"":""Point"",""coordinates"":[-65.93899250063936,1.6060522628238159]}"
00000000000000000012,19,-4.52521832800342,-69.5124900845459,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-69.51248933026456,-4.52521614476532]}"
00000000000000000013,20,2.34150370381428,-74.396001463675,1,1,,,,,,,67.0,77.0,"{""type"":""Point"",""coordinates"":[-74.39600316287637,2.341505176871805]}"
00000000000000000014,21,-3.66957301987857,-54.2375369931582,1,1,,,,,,,65.0,66.0,"{""type"":""Point"",""coordinates"":[-54.237535452814065,-3.6695726209227515]}"
00000000000000000015,22,-4.12340190141629,-65.4859714864792,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-65.48597012911452,-4.12340208973826]}"
00000000000000000017,24,0.499508213725038,-60.8317999993891,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-60.8318012409846,0.4995085000070073]}"
00000000000000000018,25,-1.14764269123845,-70.3581640930282,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-70.35816230415162,-1.1476432972264194]}"
0000000000000000001b,28,-0.127066696949066,-77.6603893746838,1,1,,,,,,,46.0,,"{""type"":""Point"",""coordinates"":[-77.66039064837565,-0.12706654361899375]}"
0000000000000000001c,29,-2.17792049059635,-62.2091868245493,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-62.209186342686664,-2.1779185956250897]}"
0000000000000000001e,31,-2.33018493125478,-62.8823842984782,1,1,,,,,,,81.0,80.0,"{""type"":""Point"",""coordinates"":[-62.88238574692749,-2.330183519297105]}"
0000000000000000001f,32,-0.13245658865379,-75.747247314067,1,1,,,,,,,77.0,78.0,"{""type"":""Point"",""coordinates"":[-75.74724901420312,-0.13245759679260985]}"
00000000000000000020,33,-15.3014983078423,-68.1097707683732,1,1,,,,,,,84.0,79.0,"{""type"":""Point"",""coordinates"":[-68.10977207547788,-15.301498906021651]}"
00000000000000000021,34,4.43871056612219,-63.6631101119177,1,1,,,,,,,58.0,75.0,"{""type"":""Point"",""coordinates"":[-63.66311191397111,4.43870958432847]}"
00000000000000000022,35,-5.69374684958747,-56.2468886207056,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-56.24688665131575,-5.69374587132608]}"
00000000000000000024,37,-9.03170678232272,-57.1874247231923,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-57.18742254101382,-9.03170852420722]}"
00000000000000000025,38,3.34159810962573,-54.3943828417677,1,1,,,,,,,68.0,76.0,"{""type"":""Point"",""coordinates"":[-54.39438433236903,3.3415968202396993]}"
00000000000000000026,39,-4.81357753420613,-64.3465483800856,1,1,,,,,,,82.0,81.0,"{""type"":""Point"",""coordinates"":[-64.34654941423065,-4.813577291689559]}"
00000000000000000028,41,-8.43369829768366,-60.6197077608054,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-60.61970855847851,-8.433698481929595]}"
0000000000000000002a,43,1.76209034555651,-63.241890075188,1,1,,,,,,,75.0,77.0,"{""type"":""Point"",""coordinates"":[-63.24189185115945,1.7620895859870478]}"
0000000000000000002b,44,-11.8085789885962,-67.990384667112,1,1,,,,,,,80.0,77.0,"{""type"":""Point"",""coordinates"":[-67.99038410387293,-11.808578032432214]}"
0000000000000000002d,46,-8.34045317119194,-69.2182019974641,1,1,,,,,,,83.0,79.0,"{""type"":""Point"",""coordinates"":[-69.21820203804029,-8.340454219800987]}"
00000000000000000030,49,-5.20326670445764,-64.6125395357172,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-64.61253925116975,-5.203267050952301]}"
00000000000000000032,51,-4.6084921548414,-76.8117509257639,1,1,,,,,,,79.0,,"{""type"":""Point"",""coordinates"":[-76.81175237228804,-4.608494316039476]}"
00000000000000000033,52,-5.05073276921396,-72.3438001970745,1,1,,,,,,,79.5,79.0,"{""type"":""Point"",""coordinates"":[-72.34380000325108,-5.050734581217077]}"
