,q,n,width,covered,estimator,lower,upper
0,0.5,49,3.0,1,prediction-powered,4.1000000000000005,7.1000000000000005
1,0.5,49,2.2472768046037803,0,classical,3.28434079935976,5.53161760396354
2,0.5,49,3.0,1,prediction-powered,4.7,7.7
3,0.5,49,3.15792138141385,1,classical,3.93161729728695,7.0895386787008
4,0.5,49,4.1000000000000005,1,prediction-powered,4.1000000000000005,8.200000000000001
5,0.5,49,4.97710793435636,1,classical,3.25501315675973,8.23212109111609
6,0.5,49,2.9000000000000004,1,prediction-powered,3.9000000000000004,6.800000000000001
7,0.5,49,4.260119503331091,1,classical,4.98627812092325,9.24639762425434
8,0.5,49,3.5,1,prediction-powered,4.4,7.9
9,0.5,49,2.5192575558833097,0,classical,3.11013697589844,5.62939453178175
10,0.5,49,2.4000000000000004,1,prediction-powered,4.3,6.7
11,0.5,49,5.3063302790170805,1,classical,4.21784588807839,9.52417616709547
12,0.5,49,2.6000000000000005,1,prediction-powered,5.2,7.800000000000001
13,0.5,49,2.68758158968389,1,classical,4.50581575494012,7.19339734462401
14,0.5,49,2.8000000000000007,1,prediction-powered,4.5,7.300000000000001
15,0.5,49,2.8018731175871103,1,classical,4.54500162652764,7.34687474411475
16,0.5,49,5.1,1,prediction-powered,3.8000000000000003,8.9
17,0.5,49,4.360289958613699,1,classical,4.28416496857453,8.64445492718823
18,0.5,49,4.000000000000001,1,prediction-powered,4.2,8.200000000000001
19,0.5,49,3.9125377316113292,1,classical,4.19106784216168,8.10360557377301
20,0.5,49,4.4,1,prediction-powered,3.5,7.9
21,0.5,49,3.913293779758509,1,classical,5.12885826776763,9.04215204752614
22,0.5,49,3.0999999999999996,1,prediction-powered,4.9,8.0
23,0.5,49,2.0604101130572605,1,classical,4.65485858492061,6.71526869797787
24,0.5,49,4.1,1,prediction-powered,3.4000000000000004,7.5
25,0.5,49,4.002210357171981,1,classical,5.53593654812069,9.53814690529267
26,0.5,49,2.5,1,prediction-powered,4.800000000000001,7.300000000000001
27,0.5,49,1.7940593544481,0,classical,3.18396652881456,4.97802588326266
28,0.5,49,3.0,1,prediction-powered,4.800000000000001,7.800000000000001
29,0.5,49,3.10806329981657,1,classical,3.85916662572293,6.9672299255395
30,0.5,49,3.2,1,prediction-powered,4.4,7.6000000000000005
31,0.5,49,3.65835484580104,1,classical,4.03039142033297,7.68874626613401
32,0.5,49,2.5999999999999996,1,prediction-powered,4.800000000000001,7.4
33,0.5,49,2.1165910038301,0,classical,3.51361823620168,5.63020924003178
34,0.5,49,3.2,1,prediction-powered,4.2,7.4
35,0.5,49,3.6741804192033003,1,classical,3.75438778393137,7.42856820313467
36,0.5,49,2.8,1,prediction-powered,4.2,7.0
37,0.5,49,2.8310769679162107,1,classical,5.20998752512471,8.04106449304092
